img_num img_name x_dist y_dist x_undist y_undist x_dist_warp y_dist_warp x_undist_warp y_undist_warp point_x point_y
0 img_0 361.5 2878.5 361.5 2849.5 249.55865 2649.1992 247.82434 2628.402 0.0 0.0
1 img_1 2133.0 1543.5 2125.5 1527.0 2029.0177 1199.9557 2021.355 1191.7812 0.3333333432674408 0.5
2 img_2 3939.0 1584.0 3904.0 1566.5 3823.4253 1187.8499 3789.6624 1179.1422 0.6666666865348816 0.5
3 img_3 2133.0 1542.0 2125.5 1526.0 2028.9692 1198.4176 2021.3226 1190.7562 0.3333333432674408 0.5
4 img_4 3939.0 1584.0 3903.5 1566.0 3823.4253 1187.8499 3789.156 1178.6528 0.6666666865348816 0.5
5 img_5 2133.0 1542.0 2125.5 1526.0 2028.9692 1198.4176 2021.3226 1190.7562 0.3333333432674408 0.5
6 img_6 3939.0 1584.0 3903.5 1566.0 3823.4253 1187.8499 3789.156 1178.6528 0.6666666865348816 0.5
7 img_7 2133.0 1542.0 2125.5 1526.0 2028.9692 1198.4176 2021.3226 1190.7562 0.3333333432674408 0.5
8 img_8 3939.0 1584.0 3903.5 1566.0 3823.4253 1187.8499 3789.156 1178.6528 0.6666666865348816 0.5
9 img_9 2133.0 1542.5 2125.5 1526.0 2028.9854 1198.9303 2021.3226 1190.7562 0.3333333432674408 0.5
10 img_10 3939.0 1584.0 3903.5 1566.0 3823.4253 1187.8499 3789.156 1178.6528 0.6666666865348816 0.5
11 img_11 2133.0 1542.5 2125.5 1526.0 2028.9854 1198.9303 2021.3226 1190.7562 0.3333333432674408 0.5
12 img_12 3939.0 1584.0 3903.5 1566.0 3823.4253 1187.8499 3789.156 1178.6528 0.6666666865348816 0.5
13 img_13 2133.0 1542.5 2125.5 1526.0 2028.9854 1198.9303 2021.3226 1190.7562 0.3333333432674408 0.5
14 img_14 3939.0 1584.0 3903.5 1566.0 3823.4253 1187.8499 3789.156 1178.6528 0.6666666865348816 0.5
15 img_15 2133.0 1542.5 2125.5 1526.0 2028.9854 1198.9303 2021.3226 1190.7562 0.3333333432674408 0.5
16 img_16 3938.5 1583.5 3903.5 1566.0 3822.92 1187.3604 3789.156 1178.6528 0.6666666865348816 0.5
17 img_17 2133.0 1542.5 2125.5 1526.0 2028.9854 1198.9303 2021.3226 1190.7562 0.3333333432674408 0.5
18 img_18 3939.0 1584.0 3903.5 1566.0 3823.4253 1187.8499 3789.156 1178.6528 0.6666666865348816 0.5
19 img_19 2133.0 1542.5 2125.5 1526.0 2028.9854 1198.9303 2021.3226 1190.7562 0.3333333432674408 0.5
20 img_20 3938.5 1583.5 3903.5 1566.0 3822.92 1187.3604 3789.156 1178.6528 0.6666666865348816 0.5
21 img_21 2133.0 1542.5 2125.5 1526.0 2028.9854 1198.9303 2021.3226 1190.7562 0.3333333432674408 0.5
22 img_22 3939.0 1585.0 3903.5 1566.5 3823.4602 1188.858 3789.1738 1179.157 0.6666666865348816 0.5
