turn,total_collisions,first_ball_collision,potted_ball,action,start_ball0_x,start_ball0_y,start_ball8_x,start_ball8_y,start_ball1_x,start_ball1_y,start_ball9_x,start_ball9_y,end_ball0_x,end_ball0_y,end_ball8_x,end_ball8_y,end_ball1_x,end_ball1_y,end_ball9_x,end_ball9_y
1,3,0,nothing,0,988,491,211,468,696,484,1032,541,691.4507921966953,522.2226797124038,211.0,468.0,142.48927373000905,380.1175141527349,1032.0,541.0
0,5,1,nothing,5,988,491,211,468,696,484,1032,541,393.24026868564965,140.63415857425795,211.0,468.0,505.37228110834013,455.0409497240929,1037.5448828926453,558.3654730375454
0,5,1,nothing,10,988,491,211,468,696,484,1032,541,455.021241592713,190.63429267566642,211.0,468.0,376.92269477397326,502.6635192238602,1046.4707005454861,511.1342848550567
0,5,1,nothing,15,988,491,211,468,696,484,1032,541,515.0215958028264,234.82710694688024,211.0,468.0,377.33173018152274,513.8470584746152,1065.7025735150974,441.73084106590886
1,5,1,nothing,20,988,491,211,468,696,484,1032,541,504.2197635149579,160.82047387027572,211.0,468.0,696.0,484.0,837.4236249615421,110.43456918198935
0,7,1,nothing,25,988,491,211,468,696,484,1032,541,600.7041239806666,97.58083094227307,211.0,468.0,696.0,484.0,905.2707349941368,270.86078405824117
1,6,1,nothing,30,988,491,211,468,696,484,1032,541,716.3054825259925,227.05990669453013,211.0,468.0,696.0,484.0,903.2546845329178,435.91122601294694
0,10,1,nothing,35,988,491,211,468,696,484,1032,541,1116.0708695472308,80.85961886630845,211.0,468.0,696.0,484.0,1094.045562574668,536.3228606485244
0,6,1,nothing,40,988,491,211,468,696,484,1032,541,770.1589762595962,112.81569317190647,211.0,468.0,696.0,484.0,1059.5598242276626,498.8030382319812
1,6,1,nothing,45,988,491,211,468,696,484,1032,541,788.1616036849542,554.5738684650978,211.0,468.0,696.0,484.0,1025.5998007458013,118.15174598925432
0,5,1,nothing,50,988,491,211,468,696,484,1032,541,1057.963837818149,560.208456880036,211.0,468.0,696.0,484.0,517.2218113045604,237.05702869233147
0,5,1,nothing,55,988,491,211,468,696,484,1032,541,1006.009768130347,519.4728073472362,211.0,468.0,696.0,484.0,487.01374130471373,218.24527817618343
0,6,1,nothing,60,988,491,211,468,696,484,1032,541,529.6460852279155,312.4762279107338,211.0,468.0,696.0,484.0,969.9409358285802,554.6525950636783
0,5,1,nothing,65,988,491,211,468,696,484,1032,541,842.0777604888978,336.3518337712066,211.0,468.0,696.0,484.0,468.54725529587284,574.9827463113675
0,5,1,nothing,70,988,491,211,468,696,484,1032,541,591.0838794058969,186.29245140683307,211.0,468.0,696.0,484.0,710.7114449568941,114.29106232439588
1,6,1,correct_ball,75,988,491,211,468,696,484,1032,541,928.4664105349666,528.3933639089306,211.0,468.0,696.0,484.0,1121.9740485070429,596.0056235983043
1,5,1,nothing,80,988,491,211,468,696,484,1032,541,690.6280902862268,403.88740859250987,211.0,468.0,696.0,484.0,939.8360889670938,538.3249092887788
0,6,1,nothing,85,988,491,211,468,696,484,1032,541,678.3037878018436,439.4741208272206,211.0,468.0,698.1566029763427,494.26610995411517,1020.5208708403688,567.0817242149047
0,5,1,nothing,90,988,491,211,468,696,484,1032,541,655.8866176326719,450.8745884237394,211.0,468.0,702.2695187485035,500.7054885404259,1074.2544653640982,563.8437025209804
0,4,1,nothing,95,988,491,211,468,696,484,1032,541,621.638407664036,491.9373016778441,211.0,468.0,700.0135068415834,488.108163515313,1068.323986836079,548.8089364224912
1,3,0,nothing,100,988,491,211,468,696,484,1032,541,678.0590137140217,441.1763056583532,211.0,468.0,697.2597578865359,537.2656738676194,1032.0,541.0
0,2,-1,nothing,105,988,491,211,468,696,484,1032,541,470.9654038125689,541.0774567512779,211.0,468.0,696.0,484.0,1032.0,541.0
1,2,-1,nothing,110,988,491,211,468,696,484,1032,541,263.49727018419907,568.1061056887818,211.0,468.0,696.0,484.0,1032.0,541.0
0,2,-1,nothing,115,988,491,211,468,696,484,1032,541,585.1935145461292,68.68004694297292,211.0,468.0,696.0,484.0,1032.0,541.0
1,4,-1,nothing,120,988,491,211,468,696,484,1032,541,166.94005388780107,523.3215357156041,266.2936386963022,475.20492436190534,696.0,484.0,1032.0,541.0
0,3,-1,nothing,125,988,491,211,468,696,484,1032,541,381.1257908468233,531.0995412799258,211.0,468.0,696.0,484.0,1032.0,541.0
0,3,-1,nothing,130,988,491,211,468,696,484,1032,541,501.7501399777902,500.0903632310669,211.0,468.0,696.0,484.0,1032.0,541.0
1,4,0,nothing,135,988,491,211,468,696,484,1032,541,424.7776108170074,518.043136766633,211.0,468.0,106.09889860356239,515.9756686569899,1032.0,541.0
1,4,0,nothing,140,988,491,211,468,696,484,1032,541,671.194186669443,424.40834550263486,211.0,468.0,496.47094171268526,184.65498657731172,1032.0,541.0
0,7,0,nothing,145,988,491,211,468,696,484,1032,541,189.5089256467267,507.64622067979377,216.30071824161155,457.00253072404297,176.78169979320012,404.46576025155673,1032.0,541.0
0,3,0,nothing,150,988,491,211,468,696,484,1032,541,788.0415240585124,542.6952690860471,211.0,468.0,663.8256102046823,134.85707387246256,1032.0,541.0
1,3,-1,nothing,155,988,491,211,468,696,484,1032,541,1046.6863199732788,210.01023839961323,211.0,468.0,696.0,484.0,1032.0,541.0
1,6,-1,nothing,160,988,491,211,468,696,484,1032,541,184.62684482888753,142.68332346517494,640.2120555289575,508.3210963713387,696.0,484.0,1032.0,541.0
1,7,-1,nothing,165,988,491,211,468,696,484,1032,541,66.85035379395823,604.6329211201779,107.36177772590156,317.21309750326805,696.0,484.0,1032.0,541.0
1,4,-1,nothing,170,988,491,211,468,696,484,1032,541,945.800825262628,503.38099099551005,261.143349471904,319.99838336754476,696.0,484.0,1032.0,541.0
0,6,0,nothing,175,988,491,211,468,696,484,1032,541,440.55128404366064,179.05326526058252,211.0,468.0,142.67144024712854,179.5888200394138,1032.0,541.0
0,3,0,nothing,180,988,491,211,468,696,484,1032,541,598.3714232916369,601.9585888286181,211.0,468.0,740.1874591799008,172.8952250334729,1032.0,541.0
1,6,0,nothing,185,988,491,211,468,696,484,1032,541,248.73541379348188,218.76133568401733,127.11070352437632,232.8402677682247,368.90226206839486,534.6886976358627,1032.0,541.0
0,4,0,nothing,190,988,491,211,468,696,484,1032,541,982.2130844226298,466.3755174572078,211.0,468.0,613.707739476236,534.687174474435,1032.0,541.0
1,3,-1,nothing,195,988,491,211,468,696,484,1032,541,1063.6239254489585,287.0706479724922,211.0,468.0,696.0,484.0,1032.0,541.0
1,3,-1,nothing,200,988,491,211,468,696,484,1032,541,1080.0139013923342,429.0274690990103,211.0,468.0,696.0,484.0,1032.0,541.0
