Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory,change,error,K*error,Time[s],mod_time,mod_present_pos,mod_goal_pos
31031,15718,3649,2121,2121,0.0,-1528,-91680,31.031,0.09699999999999775,-263.0,-1791.0
31110,15797,3386,2121,2121,0.0,-1265,-75900,31.11,0.17599999999999838,-526.0,-1791.0
31191,15878,3161,2121,2121,0.0,-1040,-62400,31.191,0.2569999999999979,-751.0,-1791.0
31271,15958,2978,2121,2121,0.0,-857,-51420,31.271,0.33699999999999974,-934.0,-1791.0
31351,16038,2834,2121,2121,0.0,-713,-42780,31.351,0.41699999999999804,-1078.0,-1791.0
31431,16118,2715,2121,2121,0.0,-594,-35640,31.431,0.4969999999999999,-1197.0,-1791.0
31512,16199,2615,2121,2121,0.0,-494,-29640,31.512,0.5779999999999994,-1297.0,-1791.0
31591,16278,2536,2121,2121,0.0,-415,-24900,31.591,0.657,-1376.0,-1791.0
31671,16358,2470,2121,2121,0.0,-349,-20940,31.671,0.7369999999999983,-1442.0,-1791.0
31751,16438,2419,2121,2121,0.0,-298,-17880,31.751,0.8170000000000002,-1493.0,-1791.0
31831,16518,2378,2121,2121,0.0,-257,-15420,31.831,0.8969999999999985,-1534.0,-1791.0
31910,16597,2349,2121,2121,0.0,-228,-13680,31.91,0.9759999999999991,-1563.0,-1791.0
31991,16678,2321,2121,2121,0.0,-200,-12000,31.991,1.0569999999999986,-1591.0,-1791.0
32070,16757,2302,2121,2121,0.0,-181,-10860,32.07,1.1359999999999992,-1610.0,-1791.0
32151,16838,2285,2121,2121,0.0,-164,-9840,32.151,1.2170000000000023,-1627.0,-1791.0
32230,16917,2271,2121,2121,0.0,-150,-9000,32.23,1.2959999999999958,-1641.0,-1791.0
32310,16997,2260,2121,2121,0.0,-139,-8340,32.31,1.3760000000000012,-1652.0,-1791.0
32390,17077,2252,2121,2121,0.0,-131,-7860,32.39,1.4559999999999995,-1660.0,-1791.0
32471,17158,2248,2121,2121,0.0,-127,-7620,32.471,1.5369999999999955,-1664.0,-1791.0
32551,17238,2245,2121,2121,0.0,-124,-7440,32.551,1.6170000000000009,-1667.0,-1791.0
32630,17317,2242,2121,2121,0.0,-121,-7260,32.63,1.6960000000000015,-1670.0,-1791.0
32710,17397,2239,2121,2121,0.0,-118,-7080,32.71,1.7759999999999998,-1673.0,-1791.0
32791,17478,2234,2121,2121,0.0,-113,-6780,32.791,1.8569999999999958,-1678.0,-1791.0
32870,17557,2230,2121,2121,0.0,-109,-6540,32.87,1.9359999999999964,-1682.0,-1791.0
32951,17638,2228,2121,2121,0.0,-107,-6420,32.951,2.0169999999999995,-1684.0,-1791.0
33031,17718,2227,2121,2121,0.0,-106,-6360,33.031,2.0969999999999978,-1685.0,-1791.0
33111,17798,2227,2121,2121,0.0,-106,-6360,33.111,2.176999999999996,-1685.0,-1791.0
33191,17878,2228,2121,2121,0.0,-107,-6420,33.191,2.2570000000000014,-1684.0,-1791.0
33271,17958,2228,2121,2121,0.0,-107,-6420,33.271,2.3369999999999997,-1684.0,-1791.0
33351,18038,2227,2121,2121,0.0,-106,-6360,33.351,2.416999999999998,-1685.0,-1791.0
33431,18118,2227,2121,2121,0.0,-106,-6360,33.431,2.4969999999999963,-1685.0,-1791.0
33511,18198,2227,2121,2121,0.0,-106,-6360,33.511,2.5770000000000017,-1685.0,-1791.0
33591,18278,2227,2121,2121,0.0,-106,-6360,33.591,2.657,-1685.0,-1791.0
33670,18357,2227,2121,2121,0.0,-106,-6360,33.67,2.7360000000000007,-1685.0,-1791.0
33750,18437,2227,2121,2121,0.0,-106,-6360,33.75,2.815999999999999,-1685.0,-1791.0
33830,18517,2227,2121,2121,0.0,-106,-6360,33.83,2.8959999999999972,-1685.0,-1791.0
33910,18597,2228,2121,2121,0.0,-107,-6420,33.91,2.9759999999999955,-1684.0,-1791.0
33992,18679,2227,2121,2121,0.0,-106,-6360,33.992,3.0579999999999963,-1685.0,-1791.0
34071,18758,2227,2121,2121,0.0,-106,-6360,34.071,3.136999999999997,-1685.0,-1791.0
34150,18837,2227,2121,2121,0.0,-106,-6360,34.15,3.2159999999999975,-1685.0,-1791.0
34231,18918,2227,2121,2121,0.0,-106,-6360,34.231,3.2970000000000006,-1685.0,-1791.0
34311,18998,2227,2121,2121,0.0,-106,-6360,34.311,3.376999999999999,-1685.0,-1791.0
34391,19078,2227,2121,2121,0.0,-106,-6360,34.391,3.456999999999997,-1685.0,-1791.0
34471,19158,2227,2121,2121,0.0,-106,-6360,34.471,3.5369999999999955,-1685.0,-1791.0
34551,19238,2227,2121,2121,0.0,-106,-6360,34.551,3.617000000000001,-1685.0,-1791.0
34632,19319,2227,2121,2121,0.0,-106,-6360,34.632,3.697999999999997,-1685.0,-1791.0
34712,19399,2228,2121,2121,0.0,-107,-6420,34.712,3.7780000000000022,-1684.0,-1791.0
34790,19477,2227,2121,2121,0.0,-106,-6360,34.79,3.855999999999998,-1685.0,-1791.0
34870,19557,2227,2121,2121,0.0,-106,-6360,34.87,3.9359999999999964,-1685.0,-1791.0
34951,19638,2227,2121,2121,0.0,-106,-6360,34.951,4.0169999999999995,-1685.0,-1791.0
35030,19717,2227,2121,2121,0.0,-106,-6360,35.03,4.096,-1685.0,-1791.0
35111,19798,2227,2121,2121,0.0,-106,-6360,35.111,4.176999999999996,-1685.0,-1791.0
35191,19878,2227,2121,2121,0.0,-106,-6360,35.191,4.2570000000000014,-1685.0,-1791.0
35291,19978,2227,2121,2121,0.0,-106,-6360,35.291,4.356999999999996,-1685.0,-1791.0
35370,20057,2227,2121,2121,0.0,-106,-6360,35.37,4.435999999999996,-1685.0,-1791.0
35450,20137,2227,2121,2121,0.0,-106,-6360,35.45,4.516000000000002,-1685.0,-1791.0
35530,20217,2227,2121,2121,0.0,-106,-6360,35.53,4.596,-1685.0,-1791.0
