Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory
0,26752,2681,2594,2594
97,26849,2681,2594,2594
177,26929,2681,2594,2594
256,27008,2681,2594,2594
336,27088,2681,2594,2594
416,27168,2681,2594,2594
496,27248,2681,2594,2594
577,27329,2681,2594,2594
657,27409,2681,2594,2594
736,27488,2681,2594,2594
817,27569,2681,2594,2594
896,27648,2681,2594,2594
977,27729,2681,2594,2594
1056,27808,2681,2594,2594
1136,27888,2681,2594,2594
1216,27968,2681,2594,2594
1296,28048,2681,2594,2594
1377,28129,2681,2594,2594
1457,28209,2681,2594,2594
1536,28288,2681,2594,2594
1617,28369,2681,2594,2594
1696,28448,2681,2594,2594
1777,28529,2681,2594,2594
1856,28608,2681,2594,2594
1937,28689,2681,2594,2594
2016,28768,2681,2594,2594
2096,28848,2681,2594,2594
2176,28928,2681,2594,2594
2257,29009,2681,2594,2594
2337,29089,2681,2594,2594
2418,29170,2681,2594,2594
2497,29249,2681,2594,2594
2577,29329,2681,2594,2594
2656,29408,2681,2594,2594
2736,29488,2681,2594,2594
2816,29568,2681,2594,2594
2896,29648,2681,2594,2594
2976,29728,2681,2594,2594
3056,29808,2681,2594,2594
3136,29888,2681,2594,2594
3216,29968,2681,2594,2594
3296,30048,2681,2594,2594
3376,30128,2681,2594,2594
3458,30210,2681,2594,2594
3536,30288,2681,2594,2594
3616,30368,2681,2594,2594
3697,30449,2681,2594,2594
3776,30528,2681,2594,2594
3856,30608,2681,2594,2594
3936,30688,2681,2594,2594
4017,30769,2681,2594,2594
4095,30847,2681,2594,2594
4176,30928,2681,2594,2594
4256,31008,2681,2594,2594
4336,31088,2681,2594,2594
4416,31168,2681,2594,2594
4496,31248,2681,2594,2594
4576,31328,2681,2594,2594
4656,31408,2681,2594,2594
4736,31488,2681,2594,2594
4816,31568,2681,2594,2594
4897,31649,2681,2594,2594
4975,31727,2681,2594,2594
5056,31808,2681,2594,2594
5147,31899,2681,3556,3556
5216,31968,2706,3556,3556
5296,32048,2744,3556,3556
5377,32129,2784,3556,3556
5456,32208,2816,3556,3556
5536,32288,2846,3556,3556
5616,32368,2876,3556,3556
5696,32448,2901,3556,3556
5776,32528,2926,3556,3556
5856,32608,2945,3556,3556
5936,32688,2967,3556,3556
6015,0,2984,3556,3556
6095,80,2999,3556,3556
6174,159,3017,3556,3556
6255,240,3032,3556,3556
6335,320,3041,3556,3556
6415,400,3051,3556,3556
6495,480,3064,3556,3556
6575,560,3078,3556,3556
6654,639,3087,3556,3556
6735,720,3094,3556,3556
6815,800,3100,3556,3556
6895,880,3107,3556,3556
6975,960,3119,3556,3556
7055,1040,3130,3556,3556
7134,1119,3136,3556,3556
7216,1201,3140,3556,3556
7295,1280,3144,3556,3556
7375,1360,3147,3556,3556
7455,1440,3147,3556,3556
7534,1519,3147,3556,3556
7614,1599,3147,3556,3556
7694,1679,3147,3556,3556
7775,1760,3147,3556,3556
7854,1839,3147,3556,3556
7935,1920,3147,3556,3556
8015,2000,3147,3556,3556
8094,2079,3147,3556,3556
8175,2160,3147,3556,3556
8255,2240,3147,3556,3556
8335,2320,3147,3556,3556
8414,2399,3147,3556,3556
8494,2479,3147,3556,3556
8574,2559,3147,3556,3556
8655,2640,3147,3556,3556
8735,2720,3147,3556,3556
8814,2799,3147,3556,3556
8894,2879,3147,3556,3556
8974,2959,3147,3556,3556
9054,3039,3147,3556,3556
9134,3119,3147,3556,3556
9215,3200,3147,3556,3556
9294,3279,3147,3556,3556
9374,3359,3147,3556,3556
9455,3440,3146,3556,3556
9534,3519,3147,3556,3556
9614,3599,3147,3556,3556
9694,3679,3147,3556,3556
9774,3759,3147,3556,3556
9854,3839,3147,3556,3556
9934,3919,3147,3556,3556
10014,3999,3147,3556,3556
10094,4079,3147,3556,3556
10175,4160,3147,3556,3556
10255,4240,3147,3556,3556
10334,4319,3147,3556,3556
10415,4400,3147,3556,3556
10494,4479,3147,3556,3556
10574,4559,3147,3556,3556
10655,4640,3147,3556,3556
10734,4719,3147,3556,3556
10814,4799,3147,3556,3556
10894,4879,3147,3556,3556
10974,4959,3147,3556,3556
11054,5039,3147,3556,3556
11135,5120,3147,3556,3556
11214,5199,3147,3556,3556
11294,5279,3147,3556,3556
11394,5379,3147,4064,4064
11475,5460,3175,4064,4064
11553,5538,3209,4064,4064
11634,5619,3244,4064,4064
11714,5699,3274,4064,4064
11794,5779,3305,4064,4064
11874,5859,3331,4064,4064
11954,5939,3357,4064,4064
12034,6019,3380,4064,4064
12114,6099,3405,4064,4064
12194,6179,3424,4064,4064
12274,6259,3447,4064,4064
12353,6338,3465,4064,4064
12435,6420,3481,4064,4064
12514,6499,3499,4064,4064
12594,6579,3515,4064,4064
12674,6659,3529,4064,4064
12754,6739,3545,4064,4064
12833,6818,3561,4064,4064
12914,6899,3573,4064,4064
12994,6979,3585,4064,4064
13074,7059,3599,4064,4064
13154,7139,3612,4064,4064
13234,7219,3621,4064,4064
13314,7299,3628,4064,4064
13393,7378,3637,4064,4064
13474,7459,3647,4064,4064
13554,7539,3657,4064,4064
13634,7619,3665,4064,4064
13715,7700,3672,4064,4064
13794,7779,3677,4064,4064
13874,7859,3684,4064,4064
13953,7938,3690,4064,4064
14034,8019,3698,4064,4064
14114,8099,3704,4064,4064
14194,8179,3710,4064,4064
14273,8258,3715,4064,4064
14353,8338,3716,4064,4064
14433,8418,3716,4064,4064
14514,8499,3716,4064,4064
14593,8578,3716,4064,4064
14674,8659,3716,4064,4064
14753,8738,3716,4064,4064
14834,8819,3716,4064,4064
14914,8899,3716,4064,4064
14994,8979,3716,4064,4064
15073,9058,3716,4064,4064
15154,9139,3716,4064,4064
15234,9219,3716,4064,4064
15313,9298,3716,4064,4064
15393,9378,3716,4064,4064
15474,9459,3716,4064,4064
15554,9539,3716,4064,4064
15634,9619,3716,4064,4064
15713,9698,3716,4064,4064
15793,9778,3716,4064,4064
15874,9859,3716,4064,4064
15954,9939,3716,4064,4064
16034,10019,3716,4064,4064
16114,10099,3716,4064,4064
16193,10178,3716,4064,4064
16274,10259,3716,4064,4064
16354,10339,3716,4064,4064
16433,10418,3716,4064,4064
16513,10498,3716,4064,4064
16595,10580,3716,4064,4064
16673,10658,3716,4064,4064
16754,10739,3716,4064,4064
16833,10818,3716,4064,4064
16913,10898,3716,4064,4064
16993,10978,3716,4064,4064
17074,11059,3716,4064,4064
17153,11138,3716,4064,4064
17233,11218,3716,4064,4064
17314,11299,3716,4064,4064
17393,11378,3716,4064,4064
17474,11459,3716,4064,4064
17554,11539,3716,4064,4064
17633,11618,3716,4064,4064
17713,11698,3716,4064,4064
17793,11778,3716,4064,4064
17873,11858,3716,4064,4064
17954,11939,3716,4064,4064
18033,12018,3716,4064,4064
18113,12098,3716,4064,4064
18195,12180,3716,4064,4064
18278,12263,3716,2294,2294
18353,12338,3665,2294,2294
18433,12418,3594,2294,2294
18513,12498,3523,2294,2294
18593,12578,3458,2294,2294
18673,12658,3399,2294,2294
18753,12738,3346,2294,2294
18833,12818,3297,2294,2294
18913,12898,3251,2294,2294
18993,12978,3208,2294,2294
19073,13058,3168,2294,2294
19153,13138,3130,2294,2294
19233,13218,3094,2294,2294
19313,13298,3061,2294,2294
19393,13378,3032,2294,2294
19473,13458,3002,2294,2294
19553,13538,2976,2294,2294
19633,13618,2949,2294,2294
19713,13698,2928,2294,2294
19793,13778,2905,2294,2294
19872,13857,2884,2294,2294
19952,13937,2863,2294,2294
20032,14017,2842,2294,2294
20113,14098,2825,2294,2294
20193,14178,2806,2294,2294
20273,14258,2789,2294,2294
20352,14337,2776,2294,2294
20433,14418,2759,2294,2294
20512,14497,2743,2294,2294
20593,14578,2729,2294,2294
20673,14658,2716,2294,2294
20753,14738,2702,2294,2294
20833,14818,2688,2294,2294
20913,14898,2676,2294,2294
20992,14977,2667,2294,2294
21073,15058,2657,2294,2294
21153,15138,2646,2294,2294
21233,15218,2637,2294,2294
21313,15298,2630,2294,2294
21393,15378,2623,2294,2294
21473,15458,2618,2294,2294
21552,15537,2614,2294,2294
21634,15619,2606,2294,2294
21713,15698,2599,2294,2294
21793,15778,2593,2294,2294
21874,15859,2586,2294,2294
21953,15938,2582,2294,2294
22032,16017,2579,2294,2294
22112,16097,2576,2294,2294
22192,16177,2571,2294,2294
22273,16258,2570,2294,2294
22353,16338,2570,2294,2294
22432,16417,2570,2294,2294
22512,16497,2570,2294,2294
22593,16578,2570,2294,2294
22673,16658,2570,2294,2294
22752,16737,2570,2294,2294
22833,16818,2570,2294,2294
22912,16897,2570,2294,2294
22992,16977,2570,2294,2294
23073,17058,2570,2294,2294
23153,17138,2570,2294,2294
23232,17217,2570,2294,2294
23313,17298,2570,2294,2294
23393,17378,2570,2294,2294
23472,17457,2570,2294,2294
23553,17538,2570,2294,2294
23632,17617,2570,2294,2294
23713,17698,2570,2294,2294
23793,17778,2570,2294,2294
23872,17857,2570,2294,2294
23952,17937,2570,2294,2294
24033,18018,2570,2294,2294
24114,18099,2570,2294,2294
24192,18177,2570,2294,2294
24273,18258,2570,2294,2294
24352,18337,2570,2294,2294
24432,18417,2570,2294,2294
24513,18498,2570,2294,2294
24592,18577,2570,2294,2294
24672,18657,2570,2294,2294
24752,18737,2570,2294,2294
24832,18817,2570,2294,2294
24913,18898,2570,2294,2294
24992,18977,2570,2294,2294
25073,19058,2570,2294,2294
25158,19143,2569,180,180
25233,19218,2483,180,180
25312,19297,2359,180,180
25392,19377,2236,180,180
25472,19457,2123,180,180
25552,19537,2019,180,180
25633,19618,1924,180,180
25712,19697,1835,180,180
25792,19777,1751,180,180
25872,19857,1672,180,180
25952,19937,1599,180,180
26032,20017,1527,180,180
26112,20097,1461,180,180
26192,20177,1395,180,180
26272,20257,1336,180,180
26352,20337,1278,180,180
26433,20418,1222,180,180
26512,20497,1172,180,180
26592,20577,1125,180,180
26673,20658,1082,180,180
26751,20736,1041,180,180
26832,20817,1003,180,180
26912,20897,968,180,180
26992,20977,936,180,180
27071,21056,907,180,180
27152,21137,878,180,180
27232,21217,853,180,180
27312,21297,828,180,180
27392,21377,808,180,180
27472,21457,786,180,180
27552,21537,768,180,180
27632,21617,752,180,180
27712,21697,732,180,180
27791,21776,719,180,180
27872,21857,710,180,180
27952,21937,697,180,180
28032,22017,682,180,180
28112,22097,672,180,180
28191,22176,665,180,180
28271,22256,663,180,180
28351,22336,661,180,180
28432,22417,661,180,180
28512,22497,661,180,180
28592,22577,659,180,180
28672,22657,652,180,180
28751,22736,639,180,180
28832,22817,627,180,180
28912,22897,621,180,180
28992,22977,615,180,180
29072,23057,612,180,180
29151,23136,611,180,180
29231,23216,611,180,180
29312,23297,611,180,180
29391,23376,611,180,180
29472,23457,611,180,180
29552,23537,611,180,180
29631,23616,611,180,180
29711,23696,611,180,180
29792,23777,611,180,180
29872,23857,611,180,180
29951,23936,611,180,180
30032,24017,611,180,180
30111,24096,611,180,180
30191,24176,611,180,180
30271,24256,611,180,180
30352,24337,611,180,180
30432,24417,611,180,180
30512,24497,611,180,180
30591,24576,611,180,180
30672,24657,611,180,180
30752,24737,611,180,180
30831,24816,611,180,180
30911,24896,611,180,180
30992,24977,611,180,180
31072,25057,611,180,180
31152,25137,611,180,180
31232,25217,611,180,180
31312,25297,611,180,180
31391,25376,611,180,180
31472,25457,611,180,180
31551,25536,611,180,180
31631,25616,611,180,180
31712,25697,611,180,180
31791,25776,611,180,180
31872,25857,611,180,180
31952,25937,611,180,180
32031,26016,611,180,180
32112,26097,611,180,180
32193,26178,611,180,180
32272,26257,611,180,180
32351,26336,611,180,180
32431,26416,611,180,180
32511,26496,611,180,180
32591,26576,611,180,180
32672,26657,611,180,180
32751,26736,611,180,180
32831,26816,611,180,180
32912,26897,611,180,180
32992,26977,611,180,180
33071,27056,611,180,180
33151,27136,611,180,180
33231,27216,611,180,180
33311,27296,611,180,180
33411,27396,614,2155,2155
33491,27476,680,2155,2155
33572,27557,756,2155,2155
33651,27636,828,2155,2155
33732,27717,899,2155,2155
33811,27796,961,2155,2155
33891,27876,1024,2155,2155
33971,27956,1082,2155,2155
34051,28036,1134,2155,2155
34130,28115,1185,2155,2155
34211,28196,1234,2155,2155
34291,28276,1280,2155,2155
34371,28356,1323,2155,2155
34451,28436,1363,2155,2155
34531,28516,1399,2155,2155
34610,28595,1432,2155,2155
34690,28675,1463,2155,2155
34771,28756,1494,2155,2155
34851,28836,1519,2155,2155
34931,28916,1544,2155,2155
35011,28996,1564,2155,2155
35090,29075,1585,2155,2155
35171,29156,1605,2155,2155
35251,29236,1620,2155,2155
35331,29316,1637,2155,2155
35411,29396,1654,2155,2155
35491,29476,1664,2155,2155
35571,29556,1675,2155,2155
35651,29636,1688,2155,2155
35731,29716,1702,2155,2155
35810,29795,1712,2155,2155
35891,29876,1718,2155,2155
35971,29956,1726,2155,2155
36051,30036,1736,2155,2155
36130,30115,1748,2155,2155
36211,30196,1755,2155,2155
36291,30276,1757,2155,2155
36370,30355,1759,2155,2155
36451,30436,1761,2155,2155
36531,30516,1762,2155,2155
36611,30596,1764,2155,2155
36691,30676,1765,2155,2155
36771,30756,1766,2155,2155
36851,30836,1767,2155,2155
36931,30916,1768,2155,2155
37011,30996,1768,2155,2155
37090,31075,1768,2155,2155
37173,31158,1768,2155,2155
37272,31257,1769,2155,2155
37351,31336,1769,2155,2155
37430,31415,1769,2155,2155
37511,31496,1769,2155,2155
37591,31576,1769,2155,2155
37671,31656,1769,2155,2155
37750,31735,1769,2155,2155
37831,31816,1769,2155,2155
37910,31895,1769,2155,2155
37991,31976,1769,2155,2155
38071,32056,1769,2155,2155
38151,32136,1769,2155,2155
38230,32215,1769,2155,2155
38311,32296,1769,2155,2155
38391,32376,1769,2155,2155
38470,32455,1769,2155,2155
38551,32536,1769,2155,2155
38631,32616,1769,2155,2155
38710,32695,1769,2155,2155
38789,7,1769,2155,2155
38869,87,1769,2155,2155
38949,167,1769,2155,2155
39029,247,1769,2155,2155
39109,327,1769,2155,2155
39189,407,1769,2155,2155
39270,488,1769,2155,2155
39349,567,1769,2155,2155
39429,647,1769,2155,2155
39509,727,1769,2155,2155
39589,807,1769,2155,2155
39669,887,1769,2155,2155
39749,967,1769,2155,2155
39829,1047,1769,2155,2155
39909,1127,1769,2155,2155
39990,1208,1769,2155,2155
40069,1287,1769,2155,2155
40150,1368,1769,2155,2155
40251,1469,1769,2155,2155
40329,1547,1769,2155,2155
40409,1627,1769,2155,2155
40489,1707,1769,2155,2155
40569,1787,1769,2155,2155
40649,1867,1769,2155,2155
40729,1947,1769,2155,2155
40810,2028,1769,2155,2155
40889,2107,1769,2155,2155
40969,2187,1769,2155,2155
41057,2275,1770,4059,4059
41130,2348,1844,4059,4059
41209,2427,1955,4059,4059
41289,2507,2065,4059,4059
41369,2587,2172,4059,4059
41450,2668,2274,4059,4059
41529,2747,2370,4059,4059
41609,2827,2460,4059,4059
41689,2907,2547,4059,4059
41769,2987,2630,4059,4059
41849,3067,2707,4059,4059
41929,3147,2779,4059,4059
42008,3226,2843,4059,4059
42089,3307,2901,4059,4059
42169,3387,2955,4059,4059
42249,3467,3005,4059,4059
42329,3547,3051,4059,4059
42409,3627,3095,4059,4059
42489,3707,3135,4059,4059
42569,3787,3172,4059,4059
42649,3867,3207,4059,4059
42729,3947,3240,4059,4059
42808,4026,3269,4059,4059
42888,4106,3300,4059,4059
42969,4187,3324,4059,4059
43049,4267,3351,4059,4059
43129,4347,3371,4059,4059
43209,4427,3395,4059,4059
43288,4506,3415,4059,4059
43369,4587,3435,4059,4059
43448,4666,3456,4059,4059
43529,4747,3471,4059,4059
43610,4828,3487,4059,4059
43689,4907,3505,4059,4059
43769,4987,3518,4059,4059
43849,5067,3532,4059,4059
43928,5146,3548,4059,4059
44009,5227,3562,4059,4059
44088,5306,3573,4059,4059
44169,5387,3584,4059,4059
44249,5467,3597,4059,4059
44328,5546,3610,4059,4059
44409,5627,3618,4059,4059
44488,5706,3625,4059,4059
44568,5786,3632,4059,4059
44648,5866,3641,4059,4059
44729,5947,3651,4059,4059
44809,6027,3660,4059,4059
44889,6107,3667,4059,4059
44969,6187,3673,4059,4059
45048,6266,3677,4059,4059
45128,6346,3684,4059,4059
45208,6426,3690,4059,4059
45288,6506,3697,4059,4059
45368,6586,3703,4059,4059
45449,6667,3708,4059,4059
45528,6746,3713,4059,4059
45608,6826,3715,4059,4059
45688,6906,3716,4059,4059
45768,6986,3716,4059,4059
45849,7067,3716,4059,4059
45929,7147,3716,4059,4059
46008,7226,3716,4059,4059
46088,7306,3716,4059,4059
46169,7387,3716,4059,4059
46248,7466,3716,4059,4059
46329,7547,3716,4059,4059
46409,7627,3716,4059,4059
46489,7707,3716,4059,4059
46569,7787,3716,4059,4059
46648,7866,3716,4059,4059
46728,7946,3716,4059,4059
46808,8026,3716,4059,4059
46889,8107,3716,4059,4059
46968,8186,3716,4059,4059
47048,8266,3716,4059,4059
47128,8346,3716,4059,4059
47209,8427,3716,4059,4059
47289,8507,3716,4059,4059
47368,8586,3716,4059,4059
47448,8666,3716,4059,4059
47528,8746,3715,4059,4059
47609,8827,3716,4059,4059
47688,8906,3716,4059,4059
47768,8986,3716,4059,4059
47849,9067,3716,4059,4059
47928,9146,3716,4059,4059
48008,9226,3716,4059,4059
48088,9306,3716,4059,4059
48169,9387,3716,4059,4059
48248,9466,3715,4059,4059
48328,9546,3716,4059,4059
48408,9626,3716,4059,4059
48488,9706,3716,4059,4059
48568,9786,3716,4059,4059
48649,9867,3716,4059,4059
48728,9946,3716,4059,4059
48808,10026,3716,4059,4059
48888,10106,3716,4059,4059
48968,10186,3715,4059,4059
49048,10266,3716,4059,4059
49128,10346,3716,4059,4059
49208,10426,3716,4059,4059
49288,10506,3716,4059,4059
49368,10586,3716,4059,4059
49448,10666,3716,4059,4059
49528,10746,3716,4059,4059
49608,10826,3716,4059,4059
49687,10905,3716,4059,4059
49768,10986,3716,4059,4059
49847,11065,3716,4059,4059
49928,11146,3716,4059,4059
50008,11226,3716,4059,4059
50088,11306,3716,4059,4059
50167,11385,3716,4059,4059
50248,11466,3716,4059,4059
50327,11545,3716,4059,4059
50408,11626,3716,4059,4059
50487,11705,3716,4059,4059
50568,11786,3716,4059,4059
50648,11866,3716,4059,4059
50728,11946,3716,4059,4059
50808,12026,3716,4059,4059
50888,12106,3716,4059,4059
50969,12187,3716,4059,4059
51047,12265,3716,4059,4059
51127,12345,3716,4059,4059
51208,12426,3716,4059,4059
51289,12507,3716,4059,4059
51368,12586,3716,4059,4059
51448,12666,3716,4059,4059
51529,12747,3716,4059,4059
51608,12826,3716,4059,4059
51688,12906,3716,4059,4059
51767,12985,3716,4059,4059
51847,13065,3716,4059,4059
51928,13146,3716,4059,4059
52008,13226,3716,4059,4059
52088,13306,3716,4059,4059
52168,13386,3716,4059,4059
52247,13465,3716,4059,4059
52327,13545,3716,4059,4059
52408,13626,3716,4059,4059
52487,13705,3716,4059,4059
52568,13786,3716,4059,4059
52648,13866,3716,4059,4059
52727,13945,3716,4059,4059
52807,14025,3716,4059,4059
52888,14106,3716,4059,4059
52967,14185,3716,4059,4059
53047,14265,3716,4059,4059
53128,14346,3716,4059,4059
53207,14425,3716,4059,4059
53287,14505,3716,4059,4059
53368,14586,3716,4059,4059
53447,14665,3716,4059,4059
53527,14745,3716,4059,4059
53608,14826,3716,4059,4059
53687,14905,3716,4059,4059
53768,14986,3716,4059,4059
53847,15065,3716,4059,4059
53928,15146,3716,4059,4059
54007,15225,3716,4059,4059
54087,15305,3716,4059,4059
54167,15385,3716,4059,4059
54247,15465,3716,4059,4059
54327,15545,3716,4059,4059
54407,15625,3716,4059,4059
54488,15706,3716,4059,4059
54568,15786,3716,4059,4059
54647,15865,3716,4059,4059
54727,15945,3716,4059,4059
54807,16025,3716,4059,4059
54888,16106,3716,4059,4059
54967,16185,3716,4059,4059
55048,16266,3716,4059,4059
55128,16346,3716,4059,4059
55207,16425,3716,4059,4059
55287,16505,3716,4059,4059
55367,16585,3716,4059,4059
55447,16665,3716,4059,4059
55528,16746,3716,4059,4059
55607,16825,3716,4059,4059
55687,16905,3716,4059,4059
55767,16985,3716,4059,4059
55847,17065,3716,4059,4059
55927,17145,3716,4059,4059
56015,17233,3715,505,505
56087,17305,3610,505,505
56167,17385,3439,505,505
56247,17465,3271,505,505
56327,17545,3112,505,505
56407,17625,2965,505,505
