Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory,change,error,K*error,Time[s],mod_time,mod_present_pos,mod_goal_pos
7315,24769,3572,3003,3003,0.0,-569,-34140,7.315,0.08800000000000008,-86.0,-655.0
7395,24849,3479,3003,3003,0.0,-476,-28560,7.395,0.16799999999999926,-179.0,-655.0
7474,24928,3402,3003,3003,0.0,-399,-23940,7.474,0.2469999999999999,-256.0,-655.0
7555,25009,3341,3003,3003,0.0,-338,-20280,7.555,0.3279999999999994,-317.0,-655.0
7635,25089,3293,3003,3003,0.0,-290,-17400,7.635,0.4079999999999995,-365.0,-655.0
7715,25169,3254,3003,3003,0.0,-251,-15060,7.715,0.48799999999999955,-404.0,-655.0
7795,25249,3223,3003,3003,0.0,-220,-13200,7.795,0.5679999999999996,-435.0,-655.0
7875,25329,3200,3003,3003,0.0,-197,-11820,7.875,0.6479999999999997,-458.0,-655.0
7955,25409,3178,3003,3003,0.0,-175,-10500,7.955,0.7279999999999998,-480.0,-655.0
8034,25488,3160,3003,3003,0.0,-157,-9420,8.034,0.8070000000000004,-498.0,-655.0
8115,25569,3150,3003,3003,0.0,-147,-8820,8.115,0.8879999999999999,-508.0,-655.0
8194,25648,3141,3003,3003,0.0,-138,-8280,8.194,0.9670000000000005,-517.0,-655.0
8275,25729,3129,3003,3003,0.0,-126,-7560,8.275,1.048,-529.0,-655.0
8355,25809,3120,3003,3003,0.0,-117,-7020,8.355,1.1280000000000001,-538.0,-655.0
8435,25889,3114,3003,3003,0.0,-111,-6660,8.435,1.2080000000000002,-544.0,-655.0
8514,25968,3112,3003,3003,0.0,-109,-6540,8.514,1.286999999999999,-546.0,-655.0
8594,26048,3112,3003,3003,0.0,-109,-6540,8.594,1.366999999999999,-546.0,-655.0
8675,26129,3112,3003,3003,0.0,-109,-6540,8.675,1.4480000000000004,-546.0,-655.0
8755,26209,3112,3003,3003,0.0,-109,-6540,8.755,1.5280000000000005,-546.0,-655.0
8835,26289,3112,3003,3003,0.0,-109,-6540,8.835,1.6080000000000005,-546.0,-655.0
8915,26369,3112,3003,3003,0.0,-109,-6540,8.915,1.6879999999999988,-546.0,-655.0
8995,26449,3112,3003,3003,0.0,-109,-6540,8.995,1.767999999999999,-546.0,-655.0
9075,26529,3112,3003,3003,0.0,-109,-6540,9.075,1.847999999999999,-546.0,-655.0
9155,26609,3112,3003,3003,0.0,-109,-6540,9.155,1.927999999999999,-546.0,-655.0
9235,26689,3112,3003,3003,0.0,-109,-6540,9.235,2.007999999999999,-546.0,-655.0
9314,26768,3112,3003,3003,0.0,-109,-6540,9.314,2.0869999999999997,-546.0,-655.0
9394,26848,3112,3003,3003,0.0,-109,-6540,9.394,2.167,-546.0,-655.0
9474,26928,3112,3003,3003,0.0,-109,-6540,9.474,2.247,-546.0,-655.0
9554,27008,3112,3003,3003,0.0,-109,-6540,9.554,2.327,-546.0,-655.0
9634,27088,3112,3003,3003,0.0,-109,-6540,9.634,2.407,-546.0,-655.0
9714,27168,3112,3003,3003,0.0,-109,-6540,9.714,2.487,-546.0,-655.0
9795,27249,3112,3003,3003,0.0,-109,-6540,9.795,2.5679999999999996,-546.0,-655.0
9875,27329,3112,3003,3003,0.0,-109,-6540,9.875,2.6479999999999997,-546.0,-655.0
9954,27408,3112,3003,3003,0.0,-109,-6540,9.954,2.7270000000000003,-546.0,-655.0
10034,27488,3112,3003,3003,0.0,-109,-6540,10.034,2.8070000000000004,-546.0,-655.0
10114,27568,3112,3003,3003,0.0,-109,-6540,10.114,2.8870000000000005,-546.0,-655.0
10194,27648,3112,3003,3003,0.0,-109,-6540,10.194,2.9670000000000005,-546.0,-655.0
10275,27729,3112,3003,3003,0.0,-109,-6540,10.275,3.048,-546.0,-655.0
10354,27808,3112,3003,3003,0.0,-109,-6540,10.354,3.126999999999999,-546.0,-655.0
10434,27888,3112,3003,3003,0.0,-109,-6540,10.434,3.206999999999999,-546.0,-655.0
10514,27968,3112,3003,3003,0.0,-109,-6540,10.514,3.286999999999999,-546.0,-655.0
10594,28048,3112,3003,3003,0.0,-109,-6540,10.594,3.366999999999999,-546.0,-655.0
