Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory
0,17454,3659,3753,3753
96,17550,3659,3753,3753
175,17629,3659,3753,3753
255,17709,3658,3753,3753
335,17789,3659,3753,3753
415,17869,3659,3753,3753
496,17950,3658,3753,3753
576,18030,3659,3753,3753
656,18110,3659,3753,3753
736,18190,3659,3753,3753
816,18270,3659,3753,3753
896,18350,3658,3753,3753
976,18430,3659,3753,3753
1056,18510,3659,3753,3753
1136,18590,3659,3753,3753
1216,18670,3659,3753,3753
1296,18750,3659,3753,3753
1376,18830,3658,3753,3753
1456,18910,3659,3753,3753
1536,18990,3659,3753,3753
1616,19070,3659,3753,3753
1696,19150,3659,3753,3753
1776,19230,3659,3753,3753
1856,19310,3659,3753,3753
1936,19390,3659,3753,3753
2016,19470,3659,3753,3753
2096,19550,3659,3753,3753
2176,19630,3659,3753,3753
2256,19710,3659,3753,3753
2336,19790,3658,3753,3753
2416,19870,3659,3753,3753
2495,19949,3659,3753,3753
2575,20029,3659,3753,3753
2656,20110,3659,3753,3753
2736,20190,3659,3753,3753
2815,20269,3658,3753,3753
2896,20350,3658,3753,3753
2977,20431,3659,3753,3753
3055,20509,3658,3753,3753
3135,20589,3659,3753,3753
3216,20670,3659,3753,3753
3296,20750,3658,3753,3753
3376,20830,3659,3753,3753
3456,20910,3659,3753,3753
3535,20989,3659,3753,3753
3615,21069,3659,3753,3753
3695,21149,3659,3753,3753
3775,21229,3659,3753,3753
3855,21309,3659,3753,3753
3935,21389,3659,3753,3753
4015,21469,3659,3753,3753
4095,21549,3659,3753,3753
4175,21629,3658,3753,3753
4255,21709,3659,3753,3753
4335,21789,3659,3753,3753
4415,21869,3659,3753,3753
4495,21949,3659,3753,3753
4575,22029,3659,3753,3753
4655,22109,3659,3753,3753
4735,22189,3658,3753,3753
4815,22269,3659,3753,3753
4895,22349,3658,3753,3753
4975,22429,3659,3753,3753
5055,22509,3659,3753,3753
5135,22589,3659,3753,3753
5215,22669,3659,3753,3753
5295,22749,3659,3753,3753
5376,22830,3659,3753,3753
5456,22910,3659,3753,3753
5535,22989,3659,3753,3753
5615,23069,3658,3753,3753
5695,23149,3659,3753,3753
5776,23230,3659,3753,3753
5855,23309,3659,3753,3753
5935,23389,3658,3753,3753
6016,23470,3659,3753,3753
6095,23549,3659,3753,3753
6175,23629,3659,3753,3753
6255,23709,3659,3753,3753
6335,23789,3658,3753,3753
6415,23869,3659,3753,3753
6495,23949,3659,3753,3753
6576,24030,3659,3753,3753
6655,24109,3659,3753,3753
6735,24189,3659,3753,3753
6815,24269,3659,3753,3753
6895,24349,3658,3753,3753
6975,24429,3659,3753,3753
7055,24509,3659,3753,3753
7135,24589,3659,3753,3753
7227,24681,3658,3003,3003
7315,24769,3572,3003,3003
7395,24849,3479,3003,3003
7474,24928,3402,3003,3003
7555,25009,3341,3003,3003
7635,25089,3293,3003,3003
7715,25169,3254,3003,3003
7795,25249,3223,3003,3003
7875,25329,3200,3003,3003
7955,25409,3178,3003,3003
8034,25488,3160,3003,3003
8115,25569,3150,3003,3003
8194,25648,3141,3003,3003
8275,25729,3129,3003,3003
8355,25809,3120,3003,3003
8435,25889,3114,3003,3003
8514,25968,3112,3003,3003
8594,26048,3112,3003,3003
8675,26129,3112,3003,3003
8755,26209,3112,3003,3003
8835,26289,3112,3003,3003
8915,26369,3112,3003,3003
8995,26449,3112,3003,3003
9075,26529,3112,3003,3003
9155,26609,3112,3003,3003
9235,26689,3112,3003,3003
9314,26768,3112,3003,3003
9394,26848,3112,3003,3003
9474,26928,3112,3003,3003
9554,27008,3112,3003,3003
9634,27088,3112,3003,3003
9714,27168,3112,3003,3003
9795,27249,3112,3003,3003
9875,27329,3112,3003,3003
9954,27408,3112,3003,3003
10034,27488,3112,3003,3003
10114,27568,3112,3003,3003
10194,27648,3112,3003,3003
10275,27729,3112,3003,3003
10354,27808,3112,3003,3003
10434,27888,3112,3003,3003
10514,27968,3112,3003,3003
10594,28048,3112,3003,3003
10674,28128,3112,3003,3003
10754,28208,3112,3003,3003
10834,28288,3112,3003,3003
10914,28368,3112,3003,3003
10995,28449,3112,3003,3003
11074,28528,3112,3003,3003
11154,28608,3112,3003,3003
11234,28688,3112,3003,3003
11314,28768,3112,3003,3003
11395,28849,3112,3003,3003
11474,28928,3112,3003,3003
11554,29008,3112,3003,3003
11634,29088,3112,3003,3003
11714,29168,3112,3003,3003
11794,29248,3112,3003,3003
11874,29328,3112,3003,3003
11954,29408,3112,3003,3003
12034,29488,3112,3003,3003
12114,29568,3112,3003,3003
12194,29648,3112,3003,3003
12274,29728,3112,3003,3003
12354,29808,3112,3003,3003
12434,29888,3112,3003,3003
12514,29968,3112,3003,3003
12594,30048,3112,3003,3003
12674,30128,3112,3003,3003
12754,30208,3112,3003,3003
12834,30288,3112,3003,3003
12914,30368,3112,3003,3003
12994,30448,3112,3003,3003
13074,30528,3112,3003,3003
13154,30608,3112,3003,3003
13234,30688,3112,3003,3003
13321,30775,3111,1961,1961
13395,30849,2998,1961,1961
13474,30928,2836,1961,1961
13554,31008,2688,1961,1961
13634,31088,2563,1961,1961
13714,31168,2461,1961,1961
13794,31248,2381,1961,1961
13874,31328,2317,1961,1961
13954,31408,2267,1961,1961
14034,31488,2227,1961,1961
14114,31568,2194,1961,1961
14194,31648,2167,1961,1961
14274,31728,2146,1961,1961
14354,31808,2130,1961,1961
14434,31888,2117,1961,1961
14514,31968,2106,1961,1961
14594,32048,2100,1961,1961
14674,32128,2097,1961,1961
14754,32208,2095,1961,1961
14834,32288,2094,1961,1961
14914,32368,2094,1961,1961
14994,32448,2094,1961,1961
15074,32528,2094,1961,1961
15154,32608,2094,1961,1961
